Sub Topic,Question,Answer
Ideal and Non-ideal Solutions,"The partial pressure of ethane over a solution containing 6.56 x 10-3 g of ethane is 1 bar. If the solution  contains 5.00 x 10-2 g of ethane, then what shall be the partial pressure of the gas?","Molar mass of ethane (C2H6) = 2 × 12 + 6 × 1  = 30 g mol - 1  Number of moles present in 6.56 × 10 - 3 g of ethane   = 2.187 × 10 - 4 mol  Let the number of moles of the solvent be x.  According to Henry's law,        p = KHx"
Ideal and Non-ideal Solutions,What is meant by positive and negative deviations from Raoult's law and how is the sign of ΔsolHrelated to  positive and negative deviations from Raoult's law?,"According to Raoult's law, the partial vapour pressure of each volatile component in any solution is directly  proportional to its mole fraction. The solutions which obey Raoult's law over the entire range of concentration are  known as ideal solutions. The solutions that do not obey Raoult's law (non-ideal solutions) have vapour pressures  either higher or lower than that predicted by Raoult's law. If the vapour pressure is higher, then the solution is said to  exhibit positive deviation, and if it is lower, then the solution is said to exhibit negative deviation from Raoult's law.    Vapour pressure of a two-component solution showing positive deviation from Raoult's law          Vapour pressure of a two-component solution showing negative deviation from Raoult's law  In the case of an ideal solution, the enthalpy of the mixing of the pure components for forming the solution is zero.  ΔsolH= 0  In the case of solutions showing positive deviations, absorption of heat takes place.  ∴ΔsolH= Positive  In the case of solutions showing negative deviations, evolution of heat takes place.  ∴ΔsolH= Negative"
Colligative Properties and Determination of Molar Mass,An aqueous solution of 2% non-volatile solute exerts a pressure of 1.004 bar at the normal boiling point of  the solvent. What is the molar mass of the solute?,"Here,  Vapour pressure of the solution at normal boiling point (p1) = 1.004 bar  Vapour pressure of pure water at normal boiling point    Mass of solute, (w2) = 2 g  Mass of solvent (water), (w1) = 98 g  Molar mass of solvent (water), (M1) = 18 g mol - 1  According to Raoult's law,    = 41.35 g mol - 1  Hence, the molar mass of the solute is 41.35 g mol - 1."
Colligative Properties and Determination of Molar Mass,"      Heptane and octane form an ideal solution. At 373 K, the vapour pressures of the two liquid components are  105.2 kPa and 46.8 kPa respectively. What will be the vapour pressure of a mixture of 26.0 g of heptane and  35 g of octane?","Vapour pressure of heptane    Vapour pressure of octane  = 46.8 kPa  We know that,  Molar mass of heptane (C7H16) = 7 × 12 + 16 × 1  = 100 g mol - 1  Number of moles of heptane    = 0.26 mol  Molar mass of octane (C8H18) = 8 × 12 + 18 × 1  = 114 g mol - 1  Number of moles of octane   = 0.31 mol  Mole fraction of heptane,   = 0.456  And, mole fraction of octane, x2 = 1 - 0.456  = 0.544  Now, partial pressure of heptane,    = 0.456 × 105.2  = 47.97 kPa  Partial pressure of octane,    = 0.544 × 46.8  = 25.46 kPa  Hence, vapour pressure of solution, ptotal = p1 + p2  = 47.97 + 25.46  = 73.43 kPa"
Colligative Properties and Determination of Molar Mass,"At 300 K, 36 g of glucose present in a litre of its solution has an osmotic pressure of 4.98 bar. If the osmotic  pressure of the solution is 1.52 bars at the same temperature, what would be its concentration?","Here,  T = 300 K  π = 1.52 bar  R = 0.083 bar L K - 1 mol - 1  Applying the relation,  π = CRT          = 0.061 mol  Since the volume of the solution is 1 L, the concentration of the solution would be 0.061 M."
Abnormal Molar Masses,Suggest the most important type of intermolecular attractive interaction in the following pairs.  (i) n-hexane and n-octane  (ii) I2 and CCl4  (iii) NaClO4 and water  (iv) methanol and acetone  (v) acetonitrile (CH3CN) and acetone (C3H6O).,(i) Van der Wall's forces of attraction.  (ii) Van der Wall's forces of attraction.  (iii) Ion-diople interaction.  (iv) Dipole-dipole interaction.  (v) Dipole-dipole interaction.
Abnormal Molar Masses,"Based on solute-solvent interactions, arrange the following in order of increasing solubility in n-octane and  explain. Cyclohexane, KCl, CH3OH, CH3CN.","n-octane is a non-polar solvent. Therefore, the solubility of a non-polar solute is more than that of a polar solute in  the n-octane.  The order of increasing polarity is:  Cyclohexane < CH3CN < CH3OH < KCl  Therefore, the order of increasing solubility is:  KCl < CH3OH < CH3CN < Cyclohexane"
Abnormal Molar Masses,"Amongst the following compounds, identify which are insoluble, partially soluble and highly soluble in  water?  (i) phenol (ii) toluene (iii) formic acid  (iv) ethylene glycol (v) chloroform (vi) pentanol.","(i) Phenol (C6H5OH) has the polar group -OH and non-polar group -C6H5. Thus, phenol is partially soluble in water.  (ii) Toluene (C6H5-CH3) has no polar groups. Thus, toluene is insoluble in water.  (iii) Formic acid (HCOOH) has the polar group -OH and can form H-bond with water. Thus, formic acid is highly  soluble in water.  (iv) Ethylene glycol   has polar -OH group and can form H-bond. Thus, it is highly soluble in water.  (v) Chloroform is insoluble in water.  (vi) Pentanol (C5H11OH) has polar -OH group, but it also contains a very bulky non-polar -C5H11 group. Thus, pentanol  is partially soluble in water."
Abnormal Molar Masses,"The depression in freezing point of water observed for the same amount of acetic acid, trichloroacetic acid  and trifluoroacetic acid increases in the order given above. Explain briefly.    ","Among H, Cl, and F, H is least electronegative while F is most electronegative. Then, F can withdraw electrons  towards itself more than Cl and H. Thus, trifluoroacetic acid can easily lose H+ ions i.e., trifluoroacetic acid ionizes to  the largest extent. Now, the more ions produced, the greater is the depression of the freezing point. Hence, the  depression in the freezing point increases in the order:  Acetic acid < trichloroacetic acid < trifluoroacetic acid"
Abnormal Molar Masses,"Vapour pressure of pure acetone and chloroform at 328 K are 741.8 mm Hg and 632.8 mm Hg respectively.  Assuming that they form ideal solution over the entire range of composition, plot ptotal' pchloroform' and pacetoneas a  function of xacetone. The experimental data observed for different compositions of mixture is.  100 ×xacetone  0  11.8  23.4  36.0  50.8  58.2  64.5  72.1  pacetone /mm Hg  0  54.9  110.1  202.4  322.7  405.9  454.1  521.1  pchloroform/mm Hg  632.8  548.1  469.4  359.7  257.7  193.6  161.2  120.7","From the question, we have the following data  100 ×xacetone  0  11.8  23.4  36.0  50.8  58.2  64.5  72.1  pacetone /mm Hg  0  54.9  110.1  202.4  322.7  405.9  454.1  521.1  pchloroform/mm Hg  632.8  548.1  469.4  359.7  257.7  193.6  161.2  120.7  ptota(mm Hg)  632.8  603.0  579.5  562.1  580.4  599.5  615.3  641.8          It can be observed from the graph that the plot for the ptotalof the solution curves downwards. Therefore, the solution  shows negative deviation from the ideal behaviour."
Electrochemical Cells,Can you store copper sulphate solutions in a zinc pot?,"Zinc is more reactive than copper. Therefore, zinc can displace copper from its salt solution. If copper sulphate  solution is stored in a zinc pot, then zinc will displace copper from the copper sulphate solution.    Hence, copper sulphate solution cannot be stored in a zinc pot."
Electrochemical Cells,Consult the table of standard electrode potentials and suggest three substances that can oxidise ferrous  ions under suitable conditions.    ,"Substances that are stronger oxidising agents than ferrous ions can oxidise ferrous ions.  ;   = - 0.77 V  This implies that the substances having higher reduction potentials than  +0.77 V can oxidise ferrous ions to ferric ions. Three substances that can do so are F2, Cl2, and O2."
Galvanic Cells,Why does the conductivity of a solution decrease with dilution?,"The conductivity of a solution is the conductance of ions present in a unit volume of the solution. The number of ions  (responsible for carrying current) decreases when the solution is diluted. As a result, the conductivity of a solution  decreases with dilution."
Nernst Equation,"If a current of 0.5 ampere flows through a metallic wire for 2 hours, then how many electrons would flow  through the wire?","I = 0.5 A  t = 2 hours = 2 × 60 × 60 s = 7200 s  Thus, Q = It  = 0.5 A × 7200 s        = 3600 C  We know that   number of electrons.  Then,    Hence,  number of electrons will flow through the wire."
Nernst Equation,Suggest a list of metals that are extracted electrolytically.,"Metals that are on the top of the reactivity series such as sodium, potassium, calcium, lithium, magnesium, aluminium  are extracted electrolytically."
Electrochemical Cell and Gibbs Energy of the Reaction,What is the quantity of electricity in coulombs needed to reduce 1 mol of  ? Consider the reaction:,"The given reaction is as follows:    Therefore, to reduce 1 mole of  , the required quantity of electricity will be:  =6 F  = 6 × 96487 C  = 578922 C"
Electrochemical Cell and Gibbs Energy of the Reaction,"Write the chemistry of recharging the lead storage battery, highlighting all the materials that are involved  during recharging.    ","A lead storage battery consists of a lead anode, a grid of lead packed with lead oxide (PbO2) as the cathode, and a  38% solution of sulphuric acid (H2SO4) as an electrolyte.  When the battery is in use, the following cell reactions take place:  At anode:    At cathode:    The overall cell reaction is given by,    When a battery is charged, the reverse of all these reactions takes place.  Hence, on charging,   present at the anode and cathode is converted into  and  respectively."
Electrochemical Cell and Gibbs Energy of the Reaction,Suggest two materials other than hydrogen that can be used as fuels in fuel cells.,Methane and methanol can be used as fuels in fuel cells.
Conductance of Electrolytic Solutions,Explain how rusting of iron is envisaged as setting up of an electrochemical cell.,"In the process of corrosion, due to the presence of air and moisture, oxidation takes place at a particular spot of an  object made of iron. That spot behaves as the anode. The reaction at the anode is given by,    Electrons released at the anodic spot move through the metallic object and go to another spot of the object.  There, in the presence of H+ ions, the electrons reduce oxygen. This spot behaves as the cathode. These H+ ions  come either from H2CO3, which are formed due to the dissolution of carbon dioxide from air into water or from the  dissolution of other acidic oxides from the atmosphere in water.  The reaction corresponding at the cathode is given by,          The overall reaction is:    Also, ferrous ions are further oxidized by atmospheric oxygen to ferric ions. These ferric ions combine with moisture,  present in the surroundings, to form hydrated ferric oxide i.e., rust.  Hence, the rusting of iron is envisaged as the setting up of an electrochemical cell.    << Previous Chapter 2 : SolutionsNext Chapter 4 : Chemical Kinetics >>   Exercise : Solutions of Questions on Page Number : 92"
Electrochemical Cells,"Arrange the following metals in the order in which they displace each other from the solution of their salts.  Al, Cu, Fe, Mg and Zn","The following is the order in which the given metals displace each other from the solution of their salts.  Mg, Al, Zn, Fe, Cu"
Electrochemical Cells,"Given the standard electrode potentials,  K+/K = -2.93V, Ag+/Ag = 0.80V,  Hg2+/Hg = 0.79V  Mg2+/Mg = -2.37 V, Cr3+/Cr = - 0.74V  Arrange these metals in their increasing order of reducing power.","The lower the reduction potential, the higher is the reducing power. The given standard electrode potentials increase  in the order of K+/K < Mg2+/Mg < Cr3+/Cr < Hg2+/Hg < Ag+/Ag.  Hence, the reducing power of the given metals increases in the following order:  Ag < Hg < Cr < Mg < K"
Electrochemical Cells,Depict the galvanic cell in which the reaction Zn(s) + 2Ag+(aq) → Zn2+(aq) + 2Ag(s) takes place. Further show:  (i) Which of the electrode is negatively charged?        (ii) The carriers of the current in the cell.  (iii) Individual reaction at each electrode.,"The galvanic cell in which the given reaction takes place is depicted as:    (i) Zn electrode (anode) is negatively charged.  (ii) Ions are carriers of current in the cell and in the external circuit, current will flow from silver to zinc.  (iii) The reaction taking place at the anode is given by,    The reaction taking place at the cathode is given by,"
Galvanic Cells,Write the Nernst equation and emf of the following cells at 298 K:  (i) Mg(s) | Mg2+(0.001M) || Cu2+(0.0001 M) | Cu(s)  (ii) Fe(s) | Fe2+(0.001M) || H+(1M)|H2(g)(1bar) | Pt(s)  (iii) Sn(s) | Sn2+(0.050 M) || H+(0.020 M) | H2(g) (1 bar) | Pt(s)  (iv) Pt(s) | Br2(l) | Br-(0.010 M) || H+(0.030 M) | H2(g) (1 bar) | Pt(s).,"(i) For the given reaction, the Nernst equation can be given as:    = 2.7 - 0.02955  = 2.67 V (approximately)  (ii) For the given reaction, the Nernst equation can be given as:    = 0.52865 V        = 0.53 V (approximately)  (iii) For the given reaction, the Nernst equation can be given as:    = 0.14 - 0.0295 × log125  = 0.14 - 0.062  = 0.078 V  = 0.08 V (approximately)  (iv) For the given reaction, the Nernst equation can be given as:"
Galvanic Cells,Define conductivity and molar conductivity for the solution of an electrolyte. Discuss their variation with  concentration.,"Conductivity of a solution is defined as the conductance of a solution of 1 cm in length and area of cross-section 1 sq.  cm. The inverse of resistivity is called conductivity or specific conductance. It is represented by the symbolÃŽÂº. If ÃÂ  is resistivity, then we can write:    The conductivity of a solution at any given concentration is the conductance (G) of one unit volume of solution kept  between two platinum electrodes with the unit area of cross-section and at a distance of unit length.  i.e.,    (Since a = 1, l = 1)  Conductivity always decreases with a decrease in concentration, both for weak and strong electrolytes. This is  because the number of ions per unit volume that carry the current in a solution decreases with a decrease in  concentration.  Molar conductivity:  Molar conductivity of a solution at a given concentration is the conductance of volume V of a solution containing 1  mole of the electrolyte kept between two electrodes with the area of cross-section A and distance of unit length.    Now, l = 1 and A = V (volume containing 1 mole of the electrolyte).          Molar conductivity increases with a decrease in concentration. This is because the total volume V of the solution  containing one mole of the electrolyte increases on dilution.  The variation of  with for strong and weak electrolytes is shown in the following plot:"
Nernst Equation,The resistance of a conductivity cell containing 0.001M KCl solution at 298 K is 1500 ÃŽÂ©. What is the cell  constant if conductivity of 0.001M KCl solution at 298 K is 0.146 x 10-3 S cm-1.,"Given,  Conductivity, ÃŽÂº = 0.146 × 10 - 3 S cm - 1        Resistance, R = 1500 ÃŽÂ©   Cell constant = ÃŽÂº × R  = 0.146 × 10 - 3 × 1500  = 0.219 cm - 1"
Electrochemical Cell and Gibbs Energy of the Reaction,How much charge is required for the following reductions:  (i) 1 mol of Al3+ to Al.  (ii) 1 mol of Cu2+ to Cu.  (iii) 1 mol of   to Mn2+.,"(i)     Required charge = 3 F  = 3 × 96487 C  = 289461 C  (ii)    Required charge = 2 F  = 2 × 96487 C  = 192974 C  (iii)    i.e.,          Required charge = 5 F  = 5 × 96487 C  = 482435 C"
Electrochemical Cell and Gibbs Energy of the Reaction,How much electricity in terms of Faraday is required to produce  (i) 20.0 g of Ca from molten CaCl2.  (ii) 40.0 g of Al from molten Al2O3.,"(i) According to the question,    Electricity required to produce 40 g of calcium = 2 F  Therefore, electricity required to produce 20 g of calcium   = 1 F  (ii) According to the question,    Electricity required to produce 27 g of Al = 3 F  Therefore, electricity required to produce 40 g of Al    = 4.44 F"
Electrochemical Cell and Gibbs Energy of the Reaction,How much electricity is required in coulomb for the oxidation of  (i) 1 mol of H2O to O2.  (ii) 1 mol of FeO to Fe2O3.,"(i) According to the question,          Now, we can write:    Electricity required for the oxidation of 1 mol of H2O to O2 = 2 F  = 2 × 96487 C  = 192974 C  (ii) According to the question,    Electricity required for the oxidation of 1 mol of FeO to Fe2O3 = 1 F  = 96487 C"
Conductance of Electrolytic Solutions,A solution of Ni(NO3)2 is electrolysed between platinum electrodes using a current of 5 amperes for 20  minutes. What mass of Ni is deposited at the cathode?,"Given,  Current = 5A  Time = 20 × 60 = 1200 s  Charge = current × time  = 5 × 1200  = 6000 C  According to the reaction,    Nickel deposited by 2 × 96487 C = 58.71 g  Therefore, nickel deposited by 6000 C    = 1.825 g  Hence, 1.825 g of nickel will be deposited at the cathode."
Conductance of Electrolytic Solutions,"Three electrolytic cells A,B,C containing solutions of ZnSO4, AgNO3 and CuSO4, respectively are connected in  series. A steady current of 1.5 amperes was passed through them until 1.45 g of silver deposited at the  cathode of cell B. How long did the current flow? What mass of copper and zinc were deposited?","According to the reaction:    i.e., 108 g of Ag is deposited by 96487 C.  Therefore, 1.45 g of Ag is deposited by =   = 1295.43 C  Given,  Current = 1.5 A  Time    = 863.6 s  = 864 s  = 14.40 min  Again,    i.e., 2 × 96487 C of charge deposit = 63.5 g of Cu  Therefore, 1295.43 C of charge will deposit    = 0.426 g of Cu    i.e., 2 × 96487 C of charge deposit = 65.4 g of Zn  Therefore, 1295.43 C of charge will deposit    = 0.439 g of Zn"
Conductance of Electrolytic Solutions,"Using the standard electrode potentials given in Table 3.1, predict if the reaction between the following is  feasible:  (i) Fe3+(aq) and I-(aq)  (ii) Ag+ (aq) and Cu(s)  (iii) Fe3+ (aq) and Br- (aq)  (iv) Ag(s) and Fe3+ (aq)  (v) Br2 (aq) and Fe2+ (aq).","Since for the overall reaction is positive, the reaction between Fe3+ (aq) and I -  (aq) is feasible.    Since   for the overall reaction is positive, the reaction between Ag+ (aq) and Cu(s) is feasible.    Since  for the overall reaction is negative, the reaction between Fe3+ (aq) and Br -  (aq) is not feasible.    Since  E for the overall reaction is negative, the reaction between Ag(s) and Fe3+ (aq) is not feasible.          Since  for the overall reaction is positive, the reaction between Br2(aq) and Fe2+ (aq) is feasible."
Conductance of Electrolytic Solutions,Predict the products of electrolysis in each of the following:  (i) An aqueous solution of AgNO3 with silver electrodes.  (ii) An aqueous solution of AgNO3with platinum electrodes.  (iii) A dilute solution of H2SO4with platinum electrodes.  (iv) An aqueous solution of CuCl2 with platinum electrodes.,"(i) At cathode:  The following reduction reactions compete to take place at the cathode.    The reaction with a higher value of   takes place at the cathode. Therefore, deposition of silver will take place at  the cathode.  At anode:  The Ag anode is attacked by  ions. Therefore, the silver electrode at the anode dissolves in the solution to form  Ag+.  (ii) At cathode:  The following reduction reactions compete to take place at the cathode.    The reaction with a higher value of   takes place at the cathode. Therefore, deposition of silver will take place at  the cathode.  At anode:        Since Pt electrodes are inert, the anode is not attacked by   ions. Therefore, OH - or   ions can be  oxidized at the anode. But OH - ions having a lower discharge potential and get preference and decompose to liberate  O2.    (iii) At the cathode, the following reduction reaction occurs to produce H2 gas.    At the anode, the following processes are possible.    For dilute sulphuric acid, reaction (i) is preferred to produce O2 gas. But for concentrated sulphuric acid, reaction (ii)  occurs.  (iv) At cathode:  The following reduction reactions compete to take place at the cathode.    The reaction with a higher value of   takes place at the cathode. Therefore, deposition of copper will take place at  the cathode.  At anode:  The following oxidation reactions are possible at the anode.    At the anode, the reaction with a lower value of   is preferred. But due to the over-potential of oxygen, Cl - gets  oxidized at the anode to produce Cl2 gas."
Rate of a Chemical Reaction,"For a reaction, A + B Ã¢â€ ’Product; the rate law is given by, . What is the order of the  reaction?",The order of the reaction     = 2.5
Factors Influencing Rate of a Reaction,The conversion of molecules X to Y follows second order kinetics. If concentration of X is increased to three  times how will it affect the rate of formation of Y?,"The reaction X → Y follows second order kinetics.  Therefore, the rate equation for this reaction will be:  Rate = k[X]2 (1)  Let [X] = a mol L-1, then equation (1) can be written as:  Rate1 = k .(a)2  = ka2  If the concentration of X is increased to three times, then [X] = 3a mol L-1        Now, the rate equation will be:  Rate = k (3a)2  = 9(ka2)  Hence, the rate of formation will increase by 9 times."
Factors Influencing Rate of a Reaction,A first order reaction has a rate constant 1.15 10-3s-1. How long will 5 g of this reactant take to reduce to 3 g?,"From the question, we can write down the following information:  Initial amount = 5 g  Final concentration = 3 g  Rate constant = 1.15 10 - 3s - 1  We know that for a 1storder reaction,    = 444.38 s  = 444 s (approx)"
Integrated Rate Equations,What will be the effect of temperature on rate constant?,"The rate constant of a reaction is nearly doubled with a 10°rise in temperature. However, the exact dependence of  the rate of a chemical reaction on temperature is given by Arrhenius equation,    Where,  A is the Arrhenius factor or the frequency factor  Tis the temperature  Ris the gas constant  Eais the activation energy"
Rate of a Chemical Reaction,The decomposition of NH3on platinum surface is zero order reaction. What are the rates of production of  N2and H2if k = 2.5 x 10-4mol-1L s-1?,"The decomposition of NH3on platinum surface is represented by the following equation.    Therefore,    However,it is given that the reaction is of zero order.  Therefore,    Therefore, the rate of production of N2is    And, the rate of production of H2is    = 7.5 × 10 - 4mol L - 1s - 1"
Factors Influencing Rate of a Reaction,"The decomposition of dimethyl ether leads to the formation of CH4, H2and CO and the reaction rate is given  by  Rate = k [CH3OCH3]3/2  The rate of reaction is followed by increase in pressure in a closed vessel, so the rate can also be expressed  in terms of the partial pressure of dimethyl ether, i.e.,          If the pressure is measured in bar andtime in minutes, then what are the units of rate and rate constants?","If pressure is measured in bar and time in minutes, then  Unit of rate = bar min - 1      Therefore, unit of rate constants"
Factors Influencing Rate of a Reaction,Mention the factors that affect the rate of a chemical reaction.,The factors that affect the rate of a reaction areas follows.  (i) Concentration of reactants (pressure in case of gases)  (ii) Temperature  (iii) Presence of a catalyst
Integrated Rate Equations,A reaction is second order with respect to a reactant. How is the rate of reaction affected if the concentration  of the reactant is  (i) doubled (ii) reduced to half?,"Letthe concentration of the reactant be [A] = a  Rate of reaction, R = k [A]2  = ka2  (i)If the concentration of the reactant is doubled, i.e. [A] = 2a, then the rate of the reaction would be          = 4ka2  = 4 R  Therefore, the rate of the reaction would increase by 4 times.  (ii) If the concentration of the reactant is reduced to half, i.e.  , then the rate of the reaction would be       Therefore, the rate of the reaction would be reduced to"
Integrated Rate Equations,What is the effect of temperature on the rate constant of a reaction? How can this temperature effect on rate  constant be represented quantitatively?,"The rate constant is nearly doubled with a rise in temperature by 10° for a chemical reaction.  The temperature effect on the rate constant can be represented quantitatively by Arrhenius equation,    where, kis the rate constant,  A is the Arrhenius factor or the frequency factor,  R is the gas constant,  Tis the temperature, and  Eais the energy of activation for the reaction"
Half-life of a Reaction,A reaction is first order in A and second order in B.        (i) Write the differential rate equation.  (ii) How is the rate affected on increasing the concentration of B three times?  (iii) How is the rate affected when the concentrations of both A and B are doubled?,"(i) The differential rate equation will be    (ii) If the concentration of B is increased three times, then    Therefore, the rate of reaction will increase 9 times.  (iii) When the concentrations of both A and B are doubled,    Therefore, the rate of reaction will increase 8 times."
Half-life of a Reaction,"In a reaction between A and B, the initial rate of reaction (r0) was measured for different initial concentrations  of A and B as given below:  A/ mol L - 1  0.20  0.20  0.40  B/ mol L - 1  0.30  0.10  0.05  r0/ mol L - 1 s - 1  5.07 × 10 - 5  5.07 × 10 - 5  1.43 × 10 - 4  What is the order of the reaction with respect to A and B?","Let the order of the reaction with respect to A be xand with respect to B be y.  Therefore,          Dividing equation (i) by (ii), we obtain    Dividing equation (iii) by (ii), we obtain    = 1.496  = 1.5 (approximately)  Hence, the order of the reaction with respect to A is 1.5 and with respect to B is zero."
