Sub Topic,Question,Answer
Vapour Pressure of Liquid Solutions,"Calculate the osmotic pressure in pascals exerted by a solution prepared by dissolving 1.0 g of polymer of  molar mass 185,000 in 450 mL of water at 37°C.","It is given that:  Volume of water, V= 450 mL = 0.45 L  Temperature, T = (37 + 273)K = 310 K  Number of moles of the polymer,    We know that:  Osmotic pressure,      = 30.98 Pa  = 31 Pa (approximately)    << Previous Chapter 1 : The Solid StateNext Chapter 3 : Electrochemistry >>   Exercise : Solutions of Questions on Page Number : 59"
Solubility,A solution is obtained by mixing 300 g of 25% solution and 400 g of 40% solution by mass. Calculate the  mass percentage of the resulting solution.,"Total amount of solute present in the mixture is given by,    = 75 + 160  = 235 g  Total amount of solution = 300 + 400 = 700 g  Therefore, mass percentage (w/w) of the solute in the resulting solution,    = 33.57%        And, mass percentage (w/w) of the solvent in the resulting solution,  = (100 - 33.57)%  = 66.43%"
Solubility,"An antifreeze solution is prepared from 222.6 g of ethylene glycol (C2H6O2) and 200 g of water. Calculate the  molality of the solution. If the density of the solution is 1.072 g mL-1, then what shall be the molarity of the  solution?","Molar mass of ethylene glycol = 2 × 12 + 6 × 1 + 2 ×16  = 62 gmol - 1  Number of moles of ethylene glycol    = 3.59 mol  Therefore, molality of the solution    = 17.95 m  Total mass of the solution = (222.6 + 200) g  = 422.6 g  Given,  Density of the solution = 1.072 g mL - 1  Volume of the solution    = 394.22 mL  = 0.3942 × 10 - 3 L   Molarity of the solution    = 9.11 M"
Vapour Pressure of Liquid Solutions,A sample of drinking water was found to be severely contaminated with chloroform (CHCl3) supposed to be a  carcinogen. The level of contamination was 15 ppm (by mass):        (i) express this in percent by mass  (ii) determine the molality of chloroform in the water sample.,"(i) 15 ppm (by mass) means 15 parts per million (106) of the solution.  Therefore, percent by mass    = 1.5 × 10 - 3 %  (ii) Molar mass of chloroform (CHCl3) = 1 × 12 + 1 × 1 + 3 × 35.5  = 119.5 g mol - 1  Now, according to the question,  15 g of chloroform is present in 106 g of the solution.  i.e., 15 g of chloroform is present in (106 - 15) Ã¢â€°Ë† 106 g of water.  Molality of the solution   = 1.26 × 10 - 4 m"
Colligative Properties and Determination of Molar Mass,The vapour pressure of water is 12.3 kPa at 300 K. Calculate vapour pressure of 1 molal solution of a non- volatile solute in it.,"1 molal solution means 1 mol of the solute is present in 1000 g of the solvent (water).  Molar mass of water = 18 g mol - 1   Number of moles present in 1000 g of water    = 55.56 mol  Therefore, mole fraction of the solute in the solution is  .  It is given that,  Vapour pressure of water,  = 12.3 kPa  Applying the relation,      ⇒ 12.3 - p1 = 0.2177  ⇒ p1 = 12.0823  = 12.08 kPa (approximately)  Hence, the vapour pressure of the solution is 12.08 kPa."
Colligative Properties and Determination of Molar Mass,Calculate the mass of a non-volatile solute (molar mass 40 g mol-1) which should be dissolved in 114 g  octane to reduce its vapour pressure to 80%.,"Let the vapour pressure of pure octane be   Then, the vapour pressure of the octane after dissolving the non-volatile solute is    Molar mass of solute, M2 = 40 g mol - 1        Mass of octane, w1 = 114 g  Molar mass of octane, (C8H18), M1 = 8 × 12 + 18 × 1  = 114 g mol - 1  Applying the relation,    Hence, the required mass of the solute is 8 g."
Colligative Properties and Determination of Molar Mass,"A solution containing 30 g of non-volatile solute exactly in 90 g of water has a  vapour pressure of 2.8 kPa at 298 K. Further, 18 g of water is then added to  the solution and the new vapour pressure becomes 2.9 kPa at 298 K. Calculate:  i.  molar mass of the solute  ii.  vapour pressure of water at 298 K.","(i) Let, the molar mass of the solute be M g mol - 1  Now, the no. of moles of solvent (water),    And, the no. of moles of solute,      Applying the relation:          After the addition of 18 g of water:    Again, applying the relation:          Dividing equation (i)by (ii), we have:          Therefore, the molar mass of the solute is 23 g mol - 1.  (ii) Putting the value of 'M' in equation (i), we have:    Hence, the vapour pressure of water at 298 K is 3.53 kPa."
Colligative Properties and Determination of Molar Mass,A 5% solution (by mass) of cane sugar in water has freezing point of 271 K. Calculate the freezing point of 5%  glucose in water if freezing point of pure water is 273.15 K.,"Here, ΔTf = (273.15 - 271) K  = 2.15 K  Molar mass of sugar (C12H22O11) = 12 × 12 + 22 × 1 + 11 × 16  = 342 g mol - 1  5% solution (by mass) of cane sugar in water means 5 g of cane sugar is present in (100 - 5)g = 95 g of water.  Now, number of moles of cane sugar         = 0.0146 mol  Therefore, molality of the solution,    = 0.1537 mol kg - 1  Applying the relation,  ΔTf = Kf × m    = 13.99 K kg mol - 1  Molar of glucose (C6H12O6) = 6 × 12 + 12 × 1 + 6 × 16  = 180 g mol - 1  5% glucose in water means 5 g of glucose is present in (100 - 5) g = 95 g of water.   Number of moles of glucose    = 0.0278 mol  Therefore, molality of the solution,    = 0.2926 mol kg - 1  Applying the relation,  ΔTf = Kf × m  = 13.99 K kg mol - 1 × 0.2926 mol kg - 1  = 4.09 K (approximately)  Hence, the freezing point of 5% glucose solution is (273.15 - 4.09) K= 269.06 K."
Colligative Properties and Determination of Molar Mass,"Two elements A and B form compounds having formula AB2 and AB4. When dissolved in 20 g of benzene  (C6H6), 1 g of AB2 lowers the freezing point by 2.3 Kwhereas 1.0 g of AB4 lowers it by 1.3 K. The molar  depression constant for benzene is 5.1 Kkg mol-1. Calculate atomic masses of A and B.","We know that,          Then,    = 110.87 g mol - 1    = 196.15 g mol - 1  Now, we have the molar masses of AB2 and AB4 as 110.87 g mol - 1 and 196.15 g mol - 1 respectively.  Let the atomic masses of A and B be x and y respectively.  Now, we can write:    Subtracting equation (i) from (ii), we have  2y = 85.28  ⇒ y = 42.64  Putting the value of 'y' in equation (1), we have  x + 2 × 42.64 = 110.87  ⇒ x = 25.59  Hence, the atomic masses of A and B are 25.59 u and 42.64 u respectively."
Abnormal Molar Masses,"If the density of some lake water is 1.25 g mL-1 and contains 92 g of Na+ ions per kg of water, calculate the  molality of Na+ ions in the lake.","Number of moles present in 92 g of Na+ ions =   = 4 mol  Therefore, molality of Na+ ions in the lake    = 4 m"
Abnormal Molar Masses,"If the solubility product of CuS is 6 x 10-16, calculate the maximum molarity of CuS in aqueous solution.","Solubility product of CuS, Ksp = 6 × 10 - 16        Let s be the solubility of CuS in mol L - 1.    Now,    = s × s  = s2  Then, we have, Ksp =      = 2.45 × 10 - 8 mol L - 1  Hence, the maximum molarity of CuS in an aqueous solution is 2.45 × 10 - 8 mol L - 1."
Abnormal Molar Masses,Calculate the mass percentage of aspirin (C9H8O4) in acetonitrile (CH3CN) when 6.5 g of C9H8O4 is dissolved in  450 g of CH3CN.,"6.5 g of C9H8O4 is dissolved in 450 g of CH3CN.  Then, total mass of the solution = (6.5 + 450) g  = 456.5 g  Therefore, mass percentage ofC9H8O4    = 1.424%"
Abnormal Molar Masses,"Nalorphene (C19H21NO3), similar to morphine, is used to combat withdrawal  symptoms in narcotic users. Dose of nalorphene generally given is 1.5 mg.  Calculate the mass of 1.5 x 10-3m aqueous solution required for the above dose.","The molar mass of nalorphene   is given as:          In 1.5 × 10 - 3m aqueous solution of nalorphene,  1 kg (1000 g) of water contains 1.5 × 10 - 3 mol     Therefore, total mass of the solution      This implies that the mass of the solution containing 0.4665 g of nalorphene is 1000.4665 g.  Therefore, mass of the solution containing 1.5 mg of nalorphene is:    Hence, the mass of aqueous solution required is 3.22 g.  Note:There is a slight variation in this answer and the one given in the NCERT textbook."
Abnormal Molar Masses,Calculate the amount of benzoic acid (C6H5COOH) required for preparing 250 mL of 0.15 M solution in  methanol.,"0.15 M solution of benzoic acid in methanol means,  1000 mL of solution contains 0.15 mol of benzoic acid  Therefore, 250 mL of solution contains =   mol of benzoic acid  = 0.0375 mol of benzoic acid  Molar mass of benzoic acid (C6H5COOH) = 7 × 12 + 6 × 1 + 2 × 16  = 122 g mol - 1  Hence, required benzoic acid = 0.0375 mol × 122 g mol - 1  = 4.575 g"
Abnormal Molar Masses,"Calculate the depression in the freezing point of water when 10 g ofCH3CH2CHClCOOH is added to 250 g of  water. Ka = 1.4 x 10-3, Kf = 1.86  K kg mol-1.","Molar mass of      ∴No. of moles present in 10 g of      It is given that 10 g of  is added to 250 g of water.  ∴Molality of the solution,      Let αbe the degree of dissociation of    undergoes dissociation according to the following equation:              Since αis very small with respect to 1, 1 - α Ã¢â€°Ë†1  Now,      Again,    Total moles of equilibrium = 1 - α+ α+ α  = 1 + α      Hence, the depression in the freezing point of water is given as:"
Abnormal Molar Masses,19.5 g of CH2FCOOH is dissolved in 500 g of water. The depression in the freezing point of water observed is  1.0°C. Calculate the van't Hoff factor and dissociation constant of fluoroacetic acid.,"It is given that:    We know that:    Therefore, observed molar mass of    The calculated molar mass of  is:    Therefore, van't Hoff factor,      Let αbe the degree of dissociation of              Now, the value of Kais given as:      Taking the volume of the solution as 500 mL, we have the concentration:    Therefore,"
Abnormal Molar Masses,Vapour pressure of water at 293 Kis 17.535 mm Hg. Calculate the vapour pressure of water at 293 Kwhen 25 g  of glucose is dissolved in 450 g of water.    ,"Vapour pressure of water,  = 17.535 mm of Hg  Mass of glucose, w2 = 25 g  Mass of water, w1 = 450 g  We know that,  Molar mass of glucose (C6H12O6), M2 = 6 × 12 + 12 × 1 + 6 × 16  = 180 g mol - 1  Molar mass of water, M1 = 18 g mol - 1  Then, number of moles of glucose,    = 0.139 mol  And, number of moles of water,    = 25 mol  We know that,    ⇒ 17.535 - p1 = 0.097  ⇒ p1 = 17.44 mm of Hg  Hence, the vapour pressure of water is 17.44 mm of Hg."
Abnormal Molar Masses,Henry's law constant for the molality of methane in benzene at 298 Kis 4.27 x 105 mm Hg. Calculate the  solubility of methane in benzene at 298 Kunder 760 mm Hg.,"Here,  p = 760 mm Hg  kH = 4.27 × 105 mm Hg        According to Henry's law,  p = kHx    = 177.99 × 10 - 5  = 178 × 10 - 5 (approximately)  Hence, the mole fraction of methane in benzene is 178 × 10 - 5."
Abnormal Molar Masses,100 g of liquid A (molar mass 140 g mol-1) was dissolved in 1000 g of liquid B (molar mass 180 g mol-1). The  vapour pressure of pure liquid B was found to be 500 torr. Calculate the vapour pressure of pure liquid A and  its vapour pressure in the solution if the total vapour pressure of the solution is 475 Torr.,"Number of moles of liquid A,    = 0.714 mol  Number of moles of liquid B,    = 5.556 mol  Then, mole fraction of A,      = 0.114  And, mole fraction of B, xB = 1 - 0.114  = 0.886  Vapour pressure of pure liquid B,  = 500 torr  Therefore, vapour pressure of liquid B in the solution,    = 500 × 0.886        = 443 torr  Total vapour pressure of the solution, ptotal = 475 torr  Vapour pressure of liquid A in the solution,  pA = ptotal - pB  = 475 - 443  = 32 torr  Now,      = 280.7 torr  Hence, the vapour pressure of pure liquid A is 280.7 torr."
Abnormal Molar Masses,Benzene and toluene form ideal solution over the entire range of composition. The vapour pressure of pure  benzene and toluene at 300 K are 50.71 mm Hg and 32.06 mm Hg respectively. Calculate the mole fraction of  benzene in vapour phase if 80 g of benzene is mixed with 100 g of toluene.,"Molar mass of benzene      Molar mass of toluene      Now, no. of moles present in 80 g of benzene    And, no. of moles present in 100 g of toluene    ∴Mole fraction of benzene, xb    And, mole fraction of toluene,    It is given that vapour pressure of pure benzene,    And, vapour pressure of pure toluene,          Therefore, partial vapour pressure of benzene,     And, partial vapour pressure of toluene,     Hence, mole fraction of benzene in vapour phase is given by:"
Abnormal Molar Masses,"The air is a mixture of a number of gases. The major components are oxygen  and nitrogen with approximate proportion of 20% is to 79% by volume at 298  K. The water is in equilibrium with air at a pressure of 10 atm. At 298 Kif the  Henry's law constants for oxygen and nitrogen are 3.30 x 107 mm and 6.51 x 107mm respectively, calculate  the composition of these gases in water.","Percentage of oxygen (O2) in air = 20 %  Percentage of nitrogen (N2) in air = 79%  Also, it is given that water is in equilibrium with air at a total pressure of 10 atm, that is, (10 × 760) mm Hg = 7600 mm  Hg  Therefore,  Partial pressure of oxygen,    = 1520 mm Hg        Partial pressure of nitrogen,    = 6004 mmHg  Now, according to Henry's law:  p = KH.x  For oxygen:    For nitrogen:    Hence, the mole fractions of oxygen and nitrogen in water are 4.61 ×10 - 5and 9.22 × 10 - 5respectively."
Abnormal Molar Masses,Determine the amount of CaCl2 (i = 2.47) dissolved in 2.5 litre of water such that its osmotic pressure is 0.75  atm at 27°C.,"We know that,            Here,  R = 0.0821 L atm K-1mol-1  M = 1 × 40 + 2 × 35.5  = 111g mol-1  Therefore, w    = 3.42 g  Hence, the required amount of CaCl2 is 3.42 g."
Abnormal Molar Masses,"Determine the osmotic pressure of a solution prepared by dissolving 25 mg of K2SO4 in 2 liter of water at 25°  C, assuming that it is completely dissociated.","When K2SO4 is dissolved in water,   ions are produced.    Total number of ions produced = 3  i =3  Given,  w = 25 mg = 0.025 g  V = 2 L  T = 250C = (25 + 273) K = 298 K  Also, we know that:  R = 0.0821 L atm K-1mol-1  M = (2 × 39) + (1 × 32) + (4 × 16) = 174 g mol-1  Appling the following relation,"
Electrochemical Cells,How would you determine the standard electrode potential of the systemMg2+| Mg?,"The standard electrode potential of Mg2+| Mg can be measured with respect to the standard hydrogen electrode,  represented by Pt(s), H2(g)(1 atm) | H+ (aq)(1 M).  A cell, consisting of Mg | MgSO4(aq 1 M) as the anode and the standard hydrogen electrode as the cathode, is set up.    Then, the emf of the cell is measured and this measured emf is the standard electrode potential of the magnesium  electrode.    Here,  for the standard hydrogen electrode is zero.  ∴"
Electrochemical Cells,Calculate the potential of hydrogen electrode in contact with a solution whose pH is 10.,"For hydrogen electrode,  , it is given that pH = 10  ∴[H+] = 10 - 10M  Now, using Nernst equation:  =          = - 0.0591 log 1010  = - 0.591 V"
Galvanic Cells,Calculate the emf of the cell in which the following reaction takes place:    Given that  = 1.05 V,Applying Nernst equation we have:          = 1.05 - 0.02955 log 4 × 104  = 1.05 - 0.02955 (log 10000 + log 4)  = 1.05 - 0.02955 (4 + 0.6021)  = 0.914 V
Galvanic Cells,The cell in which the following reactions occurs:    has  = 0.236 V at 298 K.  Calculate the standard Gibbs energy and the equilibrium constant of the cell reaction.,"Here, n = 2,   T = 298 K  We know that:    = - 2 × 96487 × 0.236  = - 45541.864 J mol - 1  = - 45.54 kJ mol - 1  Again,   - 2.303RTlog Kc          = 7.981  ∴Kc= Antilog (7.981)  = 9.57 × 107"
Galvanic Cells,Suggest a way to determine the  value of water.,"Applying Kohlrausch's law of independent migration of ions, the  value of water can be determined as follows:    Hence, by knowing the  values of HCl, NaOH, and NaCl, the  value of water can be determined."
Nernst Equation,The molar conductivity of 0.025 mol L-1 methanoic acid is  46.1 S cm2 mol-1.  Calculate its degree of dissociation and dissociation constant. Given ÃŽÂ» °(H+)        = 349.6 S cm2 mol-1 and ÃŽÂ» °(HCOO-) = 54.6 S cm2 mol,"C = 0.025 mol L - 1    Now, degree of dissociation:    Thus, dissociation constant:"
Electrochemical Cells,Calculate the standard cell potentials of galvanic cells in which the following reactions take place:  (i) 2Cr(s) + 3Cd2+(aq) → 2Cr3+(aq) + 3Cd  (ii) Fe2+(aq) + Ag+(aq) → Fe3+(aq) + Ag(s)  Calculate the ΔrGÃŽÂ¸ and equilibrium constant of the reactions.,"(i)      The galvanic cell of the given reaction is depicted as:    Now, the standard cell potential is    In the given equation,        n = 6  F = 96487 C mol - 1   = +0.34 V  Then,   = - 6 × 96487 C mol - 1 × 0.34 V  = - 196833.48 CV mol - 1  = - 196833.48 J mol - 1  = - 196.83 kJ mol - 1  Again,   = - RT ln K    = 34.496   K = antilog (34.496)  = 3.13 × 1034  (ii)      The galvanic cell of the given reaction is depicted as:    Now, the standard cell potential is    Here, n = 1.  Then,    = - 1 × 96487 C mol - 1 × 0.03 V  = - 2894.61 J mol - 1  = - 2.89 kJ mol - 1        Again,      = 0.5073  K = antilog (0.5073)  = 3.2 (approximately)"
Galvanic Cells,In the button cells widely used in watches and other devices the following reaction takes place:  Zn(s) + Ag2O(s) + H2O(l) Ã¢â€ ’ Zn2+(aq) + 2Ag(s) + 2OH - (aq)  Determine  and   for the reaction.,"= 1.104 V  We know that,    = - 2 × 96487 × 1.04  = - 213043.296 J  = - 213.04 kJ"
Galvanic Cells,The conductivity of 0.20 M solution of KCl at 298 K is 0.0248 Scm-1. Calculate its molar conductivity.,"Given,  ÃŽÂº = 0.0248 S cm - 1  c = 0.20 M   Molar conductivity,      = 124 Scm2mol - 1"
Nernst Equation,The conductivity of sodium chloride at 298 K has been determined at different concentrations and the results  are given below:  Concentration/M 0.001 0.010 0.020 0.050 0.100  102 × ÃŽÂº/S m - 1 1.237 11.85 23.15 55.53 106.74  Calculate  for all concentrations and draw a plot between  and c ½. Find the value of .,"Given,  ÃŽÂº = 1.237 × 10 - 2 S m - 1, c = 0.001 M  Then, ÃŽÂº = 1.237 × 10 - 4 S cm - 1, c ½ = 0.0316 M1/2      = 123.7 S cm2 mol - 1  Given,  ÃŽÂº = 11.85 × 10 - 2 S m - 1, c = 0.010M  Then, ÃŽÂº = 11.85 × 10 - 4 S cm - 1, c ½ = 0.1 M1/2      = 118.5 S cm2 mol - 1  Given,  ÃŽÂº = 23.15 × 10 - 2 S m - 1, c = 0.020 M  Then, ÃŽÂº = 23.15 × 10 - 4 S cm - 1, c1/2 = 0.1414 M1/2            = 115.8 S cm2 mol - 1  Given,  ÃŽÂº = 55.53 × 10 - 2 S m - 1, c = 0.050 M  Then, ÃŽÂº = 55.53 × 10 - 4 S cm - 1, c1/2 = 0.2236 M1/2      = 111.1 1 S cm2 mol - 1  Given,  ÃŽÂº = 106.74 × 10 - 2 S m - 1, c = 0.100 M  Then, ÃŽÂº = 106.74 × 10 - 4 S cm - 1, c1/2 = 0.3162 M1/2      = 106.74 S cm2 mol - 1  Now, we have the following data:    0.0316  0.1  0.1414  0.2236  0.3162    123.7"
Nernst Equation,"Conductivity of 0.00241 M acetic acid is 7.896 × 10 - 5 S cm - 1. Calculate its molar conductivity and if  for  acetic acid is 390.5 S cm2 mol - 1, what is its dissociation constant?","Given, ÃŽÂº = 7.896 × 10 - 5 S m - 1  c = 0.00241 mol L - 1  Then, molar conductivity,            = 32.76S cm2 mol - 1  Again,   = 390.5 S cm2 mol - 1  Now,    = 0.084  Dissociation constant,      = 1.86 × 10 - 5 mol L - 1"
Rate of a Chemical Reaction,"For the reaction R → P, the concentration of a reactant changes from 0.03 M to 0.02 M in 25 minutes.  Calculate the average rate of reaction using units of time both in minutes and seconds.",Average rate of reaction      = 6.67 × 10 - 6M s - 1
Rate of a Chemical Reaction,"In a reaction, 2A → Products, the concentration of A decreases from 0.5 mol L-1to 0.4 mol L-1in 10 minutes.  Calculate the rate during this interval?",Average rate            = 0.005 mol L - 1 min - 1  = 5 ×10 - 3M min - 1
Integrated Rate Equations,"Time required to decompose SO2Cl2to half of its initial amount is 60 minutes. If the decomposition is a first  order reaction, calculate the rate constant of the reaction.","We know that for a 1storder reaction,    It is given that t1/2= 60 min"
Integrated Rate Equations,The rate of the chemical reaction doubles for an increase of 10 K in absolute temperature from 298 K.  Calculate Ea.,"It is given that T1 = 298 K  ∴T2 = (298 + 10) K  = 308 K  We also know that the rate of the reaction doubles when temperature is increased by 10°.  Therefore, let us take the value of k1 = k and that of k2 = 2k        Also, R = 8.314 J K - 1 mol - 1  Now, substituting these values in the equation:    We get:      = 52897.78 J mol - 1  = 52.9 kJ mol - 1  Note: There is a slight variation in this answer and the one given in the NCERT textbook."
Half-life of a Reaction,The activation energy for the reaction  2HI(g) → H2 + I2(g)  is 209.5 kJ mol-1 at 581K. Calculate the fraction of molecules of reactants having energy equal to or greater  than activation energy?,"In the given case:  Ea = 209.5 kJ mol - 1 = 209500 J mol - 1  T = 581 K  R = 8.314 JK - 1 mol - 1  Now, the fraction of molecules of reactants having energy equal to or greater than activation energy is given as:  x=e- Ea/RT⇒In x= - E    << Previous Chapter 3 : ElectrochemistryNext Chapter 5 : Surface Chemistry >>   Exercise : Solutions of Questions on Page Number : 117"
Rate of a Chemical Reaction,"      From the rate expression for the following reactions, determine their order of reaction and the dimensions of  the rate constants.  (i) 3 NO(g) Ã¢â€ ’ N2O(g) Rate = k[NO]2  (ii) H2O2 (aq) + 3 I - (aq) + 2 H+Ã¢â€ ’ 2 H2O (l) +   Rate = k[H2O2][I - ]  (iii) CH3CHO(g) Ã¢â€ ’ CH4(g) + CO(g) Rate = k [CH3CHO]3/2  (iv) C2H5Cl(g) Ã¢â€ ’ C2H4(g) + HCl(g) Rate = k [C2H5Cl]","(i) Given rate = k [NO]2  Therefore, order of the reaction = 2  Dimension of      (ii) Given rate = k [H2O2] [I - ]  Therefore, order of the reaction = 2  Dimension of      (iii) Given rate = k [CH3CHO]3/2  Therefore, order of reaction =    Dimension of            (iv) Given rate = k [C2H5Cl]  Therefore,order of the reaction = 1  Dimension of"
Rate of a Chemical Reaction,"For the reaction:  2A + B → A2B  the rate = k[A][B]2with k= 2.0 x 10-6mol-2L2s-1. Calculate the initial rate of the reaction when [A] = 0.1 mol L-1, [B]  = 0.2 mol L-1. Calculate the rate of reaction after [A] is reduced to 0.06 mol L-1.","The initial rate of the reactionis  Rate = k [A][B]2  = (2.0 × 10 - 6mol - 2L2s - 1) (0.1 mol L - 1) (0.2 mol L - 1)2  = 8.0 × 10 - 9mol - 2L2s - 1  When [A] is reduced from 0.1 mol L - 1to 0.06 mol - 1, the concentration of A reacted = (0.1 - 0.06) mol L - 1 = 0.04 mol L - 1  Therefore, concentration of B reacted  = 0.02 mol L - 1  Then, concentration of B available, [B] = (0.2 - 0.02) mol L - 1  = 0.18 mol L - 1  After [A] is reduced to 0.06 mol L - 1, the rate of the reaction is given by,  Rate = k [A][B]2  = (2.0 × 10 - 6mol - 2L2s - 1) (0.06 mol L - 1) (0.18 mol L - 1)2        = 3.89 mol L - 1s - 1"
Integrated Rate Equations,"In a pseudo first order hydrolysis of ester in water, the following results were obtained:        t/s  0  30  60  90  [Ester]mol L - 1  0.55  0.31  0.17  0.085  (i) Calculate the average rate of reaction between the time interval 30 to 60 seconds.  (ii) Calculate the pseudo first order rate constant for the hydrolysis of ester.","(i) Average rate of reaction between the time interval, 30 to 60 seconds,      = 4.67 × 10 - 3mol L - 1s - 1  (ii) For a pseudo first order reaction,    For t= 30 s,    = 1.911 × 10 - 2s - 1  For t= 60 s,    = 1.957 × 10 - 2s - 1  For t= 90 s,    = 2.075 × 10 - 2s - 1  Then, average rate constant,"
